"Step","supervisedlargea100 - epoch","supervisedlargea100 - epoch__MIN","supervisedlargea100 - epoch__MAX"
"247","0.96484375","0.96484375","0.96484375"
"248","0.96875","0.96875","0.96875"
"249","0.97265625","0.97265625","0.97265625"
"250","0.9765625","0.9765625","0.9765625"
"251","0.98046875","0.98046875","0.98046875"
"252","0.984375","0.984375","0.984375"
"253","0.98828125","0.98828125","0.98828125"
"254","0.9921875","0.9921875","0.9921875"
"255","0.99609375","0.99609375","0.99609375"
"256","1","1","1"
"257","1.00390625","1.00390625","1.00390625"
"258","1.0078125","1.0078125","1.0078125"
"259","1.01171875","1.01171875","1.01171875"
"260","1.015625","1.015625","1.015625"
"261","1.01953125","1.01953125","1.01953125"
"262","1.0234375","1.0234375","1.0234375"
"263","1.02734375","1.02734375","1.02734375"
"264","1.03125","1.03125","1.03125"
"265","1.03515625","1.03515625","1.03515625"
"266","1.0390625","1.0390625","1.0390625"
"267","1.04296875","1.04296875","1.04296875"
"268","1.046875","1.046875","1.046875"
"269","1.05078125","1.05078125","1.05078125"
"270","1.0546875","1.0546875","1.0546875"
"271","1.05859375","1.05859375","1.05859375"
"272","1.0625","1.0625","1.0625"
"273","1.06640625","1.06640625","1.06640625"
"274","1.0703125","1.0703125","1.0703125"
"275","1.07421875","1.07421875","1.07421875"
"276","1.078125","1.078125","1.078125"
"277","1.08203125","1.08203125","1.08203125"
"278","1.0859375","1.0859375","1.0859375"
"279","1.08984375","1.08984375","1.08984375"
"280","1.09375","1.09375","1.09375"
"281","1.09765625","1.09765625","1.09765625"
"282","1.1015625","1.1015625","1.1015625"
"283","1.10546875","1.10546875","1.10546875"
"284","1.109375","1.109375","1.109375"
"285","1.11328125","1.11328125","1.11328125"
"286","1.1171875","1.1171875","1.1171875"
"287","1.12109375","1.12109375","1.12109375"
"288","1.125","1.125","1.125"
"289","1.12890625","1.12890625","1.12890625"
"290","1.1328125","1.1328125","1.1328125"
"291","1.13671875","1.13671875","1.13671875"
"292","1.140625","1.140625","1.140625"
"293","1.14453125","1.14453125","1.14453125"
"294","1.1484375","1.1484375","1.1484375"
"295","1.15234375","1.15234375","1.15234375"
"296","1.15625","1.15625","1.15625"
"297","1.16015625","1.16015625","1.16015625"
"298","1.1640625","1.1640625","1.1640625"
"299","1.16796875","1.16796875","1.16796875"
"300","1.171875","1.171875","1.171875"
"301","1.17578125","1.17578125","1.17578125"
"302","1.1796875","1.1796875","1.1796875"
"303","1.18359375","1.18359375","1.18359375"
"304","1.1875","1.1875","1.1875"
"305","1.19140625","1.19140625","1.19140625"
"306","1.1953125","1.1953125","1.1953125"
"307","1.19921875","1.19921875","1.19921875"
"308","1.203125","1.203125","1.203125"
"309","1.20703125","1.20703125","1.20703125"
"310","1.2109375","1.2109375","1.2109375"
"311","1.21484375","1.21484375","1.21484375"
"312","1.21875","1.21875","1.21875"
"313","1.22265625","1.22265625","1.22265625"
"314","1.2265625","1.2265625","1.2265625"
"315","1.23046875","1.23046875","1.23046875"
"316","1.234375","1.234375","1.234375"
"317","1.23828125","1.23828125","1.23828125"
"318","1.2421875","1.2421875","1.2421875"
"319","1.24609375","1.24609375","1.24609375"
"320","1.25","1.25","1.25"
"321","1.25390625","1.25390625","1.25390625"
"322","1.2578125","1.2578125","1.2578125"
"323","1.26171875","1.26171875","1.26171875"
"324","1.265625","1.265625","1.265625"
"325","1.26953125","1.26953125","1.26953125"
"326","1.2734375","1.2734375","1.2734375"
"327","1.27734375","1.27734375","1.27734375"
"328","1.28125","1.28125","1.28125"
"329","1.28515625","1.28515625","1.28515625"
"330","1.2890625","1.2890625","1.2890625"
"331","1.29296875","1.29296875","1.29296875"
"332","1.296875","1.296875","1.296875"
"333","1.30078125","1.30078125","1.30078125"
"334","1.3046875","1.3046875","1.3046875"
"335","1.30859375","1.30859375","1.30859375"
"336","1.3125","1.3125","1.3125"
"337","1.31640625","1.31640625","1.31640625"
"338","1.3203125","1.3203125","1.3203125"
"339","1.32421875","1.32421875","1.32421875"
"340","1.328125","1.328125","1.328125"
"341","1.33203125","1.33203125","1.33203125"
"342","1.3359375","1.3359375","1.3359375"
"343","1.33984375","1.33984375","1.33984375"
"344","1.34375","1.34375","1.34375"
"345","1.34765625","1.34765625","1.34765625"
"346","1.3515625","1.3515625","1.3515625"
"347","1.35546875","1.35546875","1.35546875"
"348","1.359375","1.359375","1.359375"
"349","1.36328125","1.36328125","1.36328125"
"350","1.3671875","1.3671875","1.3671875"
"351","1.37109375","1.37109375","1.37109375"
"352","1.375","1.375","1.375"
"353","1.37890625","1.37890625","1.37890625"
"354","1.3828125","1.3828125","1.3828125"
"355","1.38671875","1.38671875","1.38671875"
"356","1.390625","1.390625","1.390625"
"357","1.39453125","1.39453125","1.39453125"
"358","1.3984375","1.3984375","1.3984375"
"359","1.40234375","1.40234375","1.40234375"
"360","1.40625","1.40625","1.40625"
"361","1.41015625","1.41015625","1.41015625"
"362","1.4140625","1.4140625","1.4140625"
"363","1.41796875","1.41796875","1.41796875"
"364","1.421875","1.421875","1.421875"
"365","1.42578125","1.42578125","1.42578125"
"366","1.4296875","1.4296875","1.4296875"
"367","1.43359375","1.43359375","1.43359375"
"368","1.4375","1.4375","1.4375"
"369","1.44140625","1.44140625","1.44140625"
"370","1.4453125","1.4453125","1.4453125"
"371","1.44921875","1.44921875","1.44921875"
"372","1.453125","1.453125","1.453125"
"373","1.45703125","1.45703125","1.45703125"
"374","1.4609375","1.4609375","1.4609375"
"375","1.46484375","1.46484375","1.46484375"
"376","1.46875","1.46875","1.46875"
"377","1.47265625","1.47265625","1.47265625"
"378","1.4765625","1.4765625","1.4765625"
"379","1.48046875","1.48046875","1.48046875"
"380","1.484375","1.484375","1.484375"
"381","1.48828125","1.48828125","1.48828125"
"382","1.4921875","1.4921875","1.4921875"
"383","1.49609375","1.49609375","1.49609375"
"384","1.5","1.5","1.5"
"385","1.50390625","1.50390625","1.50390625"
"386","1.5078125","1.5078125","1.5078125"
"387","1.51171875","1.51171875","1.51171875"
"388","1.515625","1.515625","1.515625"
"389","1.51953125","1.51953125","1.51953125"
"390","1.5234375","1.5234375","1.5234375"
"391","1.52734375","1.52734375","1.52734375"
"392","1.53125","1.53125","1.53125"
"393","1.53515625","1.53515625","1.53515625"
"394","1.5390625","1.5390625","1.5390625"
"395","1.54296875","1.54296875","1.54296875"
"396","1.546875","1.546875","1.546875"
"397","1.55078125","1.55078125","1.55078125"
"398","1.5546875","1.5546875","1.5546875"
"399","1.55859375","1.55859375","1.55859375"
"400","1.5625","1.5625","1.5625"
"401","1.56640625","1.56640625","1.56640625"
"402","1.5703125","1.5703125","1.5703125"
"403","1.57421875","1.57421875","1.57421875"
"404","1.578125","1.578125","1.578125"
"405","1.58203125","1.58203125","1.58203125"
"406","1.5859375","1.5859375","1.5859375"
"407","1.58984375","1.58984375","1.58984375"
"408","1.59375","1.59375","1.59375"
"409","1.59765625","1.59765625","1.59765625"
"410","1.6015625","1.6015625","1.6015625"
"411","1.60546875","1.60546875","1.60546875"
"412","1.609375","1.609375","1.609375"
"413","1.61328125","1.61328125","1.61328125"
"414","1.6171875","1.6171875","1.6171875"
"415","1.62109375","1.62109375","1.62109375"
"416","1.625","1.625","1.625"
"417","1.62890625","1.62890625","1.62890625"
"418","1.6328125","1.6328125","1.6328125"
"419","1.63671875","1.63671875","1.63671875"
"420","1.640625","1.640625","1.640625"
"421","1.64453125","1.64453125","1.64453125"
"422","1.6484375","1.6484375","1.6484375"
"423","1.65234375","1.65234375","1.65234375"
"424","1.65625","1.65625","1.65625"
"425","1.66015625","1.66015625","1.66015625"
"426","1.6640625","1.6640625","1.6640625"
"427","1.66796875","1.66796875","1.66796875"
"428","1.671875","1.671875","1.671875"
"429","1.67578125","1.67578125","1.67578125"
"430","1.6796875","1.6796875","1.6796875"
"431","1.68359375","1.68359375","1.68359375"
"432","1.6875","1.6875","1.6875"
"433","1.69140625","1.69140625","1.69140625"
"434","1.6953125","1.6953125","1.6953125"
"435","1.69921875","1.69921875","1.69921875"
"436","1.703125","1.703125","1.703125"
"437","1.70703125","1.70703125","1.70703125"
"438","1.7109375","1.7109375","1.7109375"
"439","1.71484375","1.71484375","1.71484375"
"440","1.71875","1.71875","1.71875"
"441","1.72265625","1.72265625","1.72265625"
"442","1.7265625","1.7265625","1.7265625"
"443","1.73046875","1.73046875","1.73046875"
"444","1.734375","1.734375","1.734375"
"445","1.73828125","1.73828125","1.73828125"
"446","1.7421875","1.7421875","1.7421875"
"447","1.74609375","1.74609375","1.74609375"
"448","1.75","1.75","1.75"
"449","1.75390625","1.75390625","1.75390625"
"450","1.7578125","1.7578125","1.7578125"
"451","1.76171875","1.76171875","1.76171875"
"452","1.765625","1.765625","1.765625"
"453","1.76953125","1.76953125","1.76953125"
"454","1.7734375","1.7734375","1.7734375"
"455","1.77734375","1.77734375","1.77734375"
"456","1.78125","1.78125","1.78125"
"457","1.78515625","1.78515625","1.78515625"
"458","1.7890625","1.7890625","1.7890625"
"459","1.79296875","1.79296875","1.79296875"
"460","1.796875","1.796875","1.796875"
"461","1.80078125","1.80078125","1.80078125"
"462","1.8046875","1.8046875","1.8046875"
"463","1.80859375","1.80859375","1.80859375"
"464","1.8125","1.8125","1.8125"
"465","1.81640625","1.81640625","1.81640625"
"466","1.8203125","1.8203125","1.8203125"
"467","1.82421875","1.82421875","1.82421875"
"468","1.828125","1.828125","1.828125"
"469","1.83203125","1.83203125","1.83203125"
"470","1.8359375","1.8359375","1.8359375"
"471","1.83984375","1.83984375","1.83984375"
"472","1.84375","1.84375","1.84375"
"473","1.84765625","1.84765625","1.84765625"
"474","1.8515625","1.8515625","1.8515625"
"475","1.85546875","1.85546875","1.85546875"
"476","1.859375","1.859375","1.859375"
"477","1.86328125","1.86328125","1.86328125"
"478","1.8671875","1.8671875","1.8671875"
"479","1.87109375","1.87109375","1.87109375"
"480","1.875","1.875","1.875"
"481","1.87890625","1.87890625","1.87890625"
"482","1.8828125","1.8828125","1.8828125"
"483","1.88671875","1.88671875","1.88671875"
